State/ UT Name (Col.1),Year-(Col.2),Geogra-phical Area-(Col.3),Reporting area for land utilisationstatistics (col.4+7+11+14+15)-(Col.4),Forests-(Col.5),Not available for cultivation-Area under non-agri-cultural uses-(Col.6),Not available for cultivation-Barren & uncultur-able land-(Col.7),Not available for cultivation-Total (Col.6+Col.7)-(Col8),Other uncultivated land excluding-Fallow Land-Permanent pastures & other grazing lands-(Col.9),Other uncultivated land excluding-Fallow Land-Land under misc. tree crops & groves (not incl. in net area sown)-(Col.10),Other uncultivated land excluding-Fallow Land-Culturable waste land-(Col.11),Fallow Land-Total (Col.9 to Col.11)-(Col.12),Fallow Lands-Fallow lands other than current fallows-(Col.13),Fallow Lands-Current fallows-(Col.14),Fallow Lands-Total(Col.13+Col.14)-(Col.15),Net area Sown-(Col.16),Total Cropped Area-(Col.17),Area sown more than once (col.17-Col.16)-(Col.18),Agri. Land/Culti-vable land/Cultur-able land/Arable land (Col.10+Col.11+Col.12+Col.13)-(Col.19),Cultivated land (Col.14+Col.15)-(Col.20),Un-cultivable land (Col.4-Col.18)-(Col.21),Un-cultivated land (Col.4-Col.20)-(Col.22)
Manipur,2008-09,2233,2000,1728,26,1,27,1,6,1,8,0,0,0,236,236,NA,243,237,1756,1763
Manipur,2009-10,2233,1997,1728,26,1,27,1,6,1,8,0,0,0,234,234,NA,240,234,1756,1763
Manipur,2010-11,2233,2111,1728,26,1,27,1,6,1,8,0,0,0,348,348,NA,355,348,1756,1763
Manipur,2011-12,2233,2128,1728,26,1,27,1,6,1,8,0,0,0,365,365,NA,372,365,1756,1763
Manipur,2012-13,2233,2072,1728,26,1,27,1,6,1,8,0,0,0,309,309,NA,316,309,1756,1763
Manipur,2013-14,2233,2111,1699,26,1,27,1,6,1,8,0,0,0,377,377,NA,384,377,1727,1734
Meghalaya,2003-04,2243,2227,951,87,128,215,NA,161,444,605,167,63,229,227,272,46,1061,289,1166,1938
Meghalaya,2004-05,2243,2227,942,90,138,228,NA,157,452,609,166,63,230,219,265,46,1057,282,1170,1945
Meghalaya,2005-06,2243,2227,942,90,137,227,NA,158,453,611,169,66,235,212,258,46,1058,278,1169,1949
Meghalaya,2006-07,2243,2227,942,91,137,228,NA,158,450,608,169,68,237,213,246,33,1057,280,1170,1947
Meghalaya,2007-08,2243,2227,944,91,136,227,NA,160,434,594,161,67,227,235,283,48,1056,302,1171,1925
Meghalaya,2008-09,2243,2227,948,91,134,226,NA,160,393,553,157,59,215,284,337,53,1053,343,1174,1884
Meghalaya,2009-10,2243,2229,946,98,133,231,NA,162,394,556,155,58,213,283,336,53,1052,341,1177,1888
Meghalaya,2010-11,2243,2235,946,105,133,238,NA,163,392,555,155,58,213,284,338,54,1052,342,1184,1894
Meghalaya,2011-12,2243,2241,946,107,132,239,NA,164,391,555,155,60,215,285,339,54,1056,345,1185,1896
Meghalaya,2012-13,2243,2241,946,108,132,239,NA,164,391,555,155,60,215,285,340,54,1056,346,1185,1896
Meghalaya,2013-14,2243,2241,946,108,131,239,NA,164,391,555,155,60,215,286,343,57,1056,346,1185,1896
Mizoram,2003-04,2108,2085,1594,125,9,134,6,15,6,27,194,38,233,98,98,NA,352,136,1733,1949
Mizoram,2004-05,2108,2076,1594,126,9,134,5,10,5,21,181,50,231,97,97,NA,343,147,1733,1929
Mizoram,2005-06,2108,1952,1594,125,9,134,5,10,5,21,82,24,106,98,98,NA,219,121,1733,1831
Mizoram,2006-07,2108,2106,1594,125,9,134,5,69,5,79,166,41,208,91,91,NA,373,133,1733,1973
Mizoram,2007-08,2108,2112,1594,125,9,134,5,67,5,77,166,45,211,96,96,NA,379,141,1733,1971
Mizoram,2008-09,2108,2080,1594,124,9,133,5,17,5,27,171,60,231,95,95,NA,348,155,1732,1925
Mizoram,2009-10,2108,2101,1585,87,8,95,5,39,7,51,181,66,247,123,123,NA,415,189,1686,1912
Mizoram,2010-11,2108,2099,1585,87,8,95,5,37,7,49,182,67,249,121,121,NA,414,187,1686,1912
Mizoram,2011-12,2108,2075,1585,87,8,95,5,41,7,53,183,61,244,97,97,NA,389,158,1686,1916
Mizoram,2012-13,2108,2094,1585,87,8,95,5,41,7,53,194,50,244,116,116,NA,408,166,1686,1927
Mizoram,2013-14,2108,2093,1585,91,8,100,5,74,7,86,161,47,208,114,114,NA,402,161,1690,1932
Nagaland,2003-04,1658,1583,863,75,NA,75,NA,122,58,179,76,84,160,305,370,65,645,389,938,1193
Nagaland,2004-05,1658,1584,863,76,NA,76,NA,121,57,178,75,82,157,309,380,71,645,391,939,1193
Nagaland,2005-06,1658,1582,863,75,NA,75,NA,120,56,177,76,82,158,309,387,78,644,391,938,1191
Nagaland,2006-07,1658,1595,863,75,NA,75,NA,120,57,177,76,82,158,322,406,84,657,405,938,1190
Nagaland,2007-08,1658,1618,863,74,4,78,NA,111,64,175,87,100,186,316,400,84,677,415,940,1202
Nagaland,2008-09,1658,1621,863,95,3,98,NA,121,60,181,89,73,163,316,402,86,659,389,961,1231
Nagaland,2009-10,1658,1621,861,87,2,89,NA,107,43,150,101,59,160,361,486,126,671,420,950,1201
Nagaland,2010-11,1658,1625,863,87,2,89,NA,103,52,155,100,55,155,362,452,90,673,417,952,1208
Nagaland,2011-12,1658,1644,863,93,2,95,NA,92,67,159,98,49,147,379,474,95,686,429,958,1216
Nagaland,2012-13,1658,1652,863,93,2,95,NA,94,70,164,99,50,150,380,489,108,694,430,958,1221
Nagaland,2013-14,1658,1652,863,93,2,95,NA,94,70,163,100,50,150,380,499,119,693,431,958,1221
Odisha,2003-04,15571,15571,5813,999,843,1842,443,482,392,1317,434,370,804,5795,8637,2842,7473,6165,8098,9406
Odisha,2004-05,15571,15571,5813,999,843,1842,443,482,392,1317,434,426,860,5739,8718,2979,7473,6165,8098,9406
Odisha,2005-06,15571,15571,5813,999,843,1842,443,482,392,1317,434,474,908,5691,8928,3237,7473,6165,8098,9406
Odisha,2006-07,15571,15571,5813,1298,840,2138,494,342,375,1211,229,526,755,5654,8960,3306,7126,6180,8445,9391
Odisha,2007-08,15571,15571,5813,1298,840,2138,494,342,375,1211,229,556,785,5624,9016,3392,7126,6180,8445,9391
Odisha,2008-09,15571,15571,5813,1298,840,2138,494,342,375,1211,229,576,805,5604,9071,3467,7126,6180,8445,9391
Odisha,2009-10,15571,15536,5814,1230,1076,2306,518,218,487,1223,573,859,1432,4761,5510,749,6898,5620,8638,9916
Odisha,2010-11,15571,15472,5814,1247,1032,2279,513,220,520,1253,567,877,1444,4682,5429,747,6866,5559,8606,9913
Odisha,2011-12,15571,15367,5814,1234,1063,2297,508,200,536,1244,622,997,1619,4394,4964,571,6749,5391,8619,9977
Odisha,2012-13,15571,15502,5814,1305,1104,2409,536,198,551,1285,659,949,1608,4386,5069,682,6743,5335,8759,10167
Odisha,2013-14,15571,15467,5814,1280,1052,2332,524,216,575,1315,634,877,1511,4495,5168,673,6797,5372,8670,10095
Punjab,2003-04,5036,5033,308,429,21,451,4,4,9,17,0,16,16,4240,7907,3666,4270,4256,763,777
Punjab,2004-05,5036,5033,299,458,25,483,5,3,9,17,0,33,33,4200,7931,3731,4245,4232,787,800
Punjab,2005-06,5036,5033,300,455,25,480,5,4,9,18,2,41,43,4192,7868,3675,4248,4233,785,800
Punjab,2006-07,5036,5033,298,477,27,504,2,4,4,10,1,35,36,4184,7861,3676,4229,4219,804,813
Punjab,2007-08,5036,5033,287,483,24,507,3,3,3,10,1,41,42,4187,7870,3683,4236,4228,797,805
Punjab,2008-09,5036,5033,295,492,24,516,7,5,3,15,0,37,37,4169,7912,3743,4215,4207,818,826
Punjab,2009-10,5036,5033,295,503,25,528,4,5,3,11,4,37,40,4158,7875,3717,4206,4195,827,838
Punjab,2010-11,5036,5033,294,508,25,533,4,4,4,12,4,33,37,4158,7883,3725,4202,4191,830,842
Punjab,2011-12,5036,5033,293,447,39,486,4,7,63,74,0,45,45,4134,7905,3771,4250,4179,783,854
Punjab,2012-13,5036,5033,262,429,51,480,5,9,62,76,6,58,64,4150,7870,3720,4286,4208,747,824
Punjab,2013-14,5036,5033,258,498,52,550,5,8,6,19,6,55,60,4145,7848,3702,4219,4200,813,833
Rajasthan,2003-04,34224,34266,2661,1760,2499,4259,1708,14,4547,6269,2407,1275,3683,17394,21664,4270,25638,18670,8628,15596
Rajasthan,2004-05,34224,34266,2661,1776,2491,4267,1709,14,4603,6325,2162,2302,4464,16549,21062,4514,25630,18851,8636,15415
Rajasthan,2005-06,34224,34266,2675,1823,2439,4262,1708,21,4590,6319,2264,1910,4174,16836,21699,4863,25621,18746,8645,15520
Rajasthan,2006-07,34224,34265,2698,1835,2427,4262,1706,20,4611,6337,2265,1939,4204,16764,21534,4770,25600,18703,8665,15562
Rajasthan,2007-08,34224,34270,2727,1847,2418,4264,1703,16,4573,6292,2167,1724,3891,17096,22208,5113,25576,18820,8694,15450
Rajasthan,2008-09,34224,34270,2728,1970,2295,4265,1699,18,4336,6052,2108,1565,3673,17551,22771,5220,25578,19117,8692,15153
Rajasthan,2009-10,34224,34270,2735,1976,2292,4268,1697,17,4475,6190,2048,2055,4103,16974,21745,4770,25569,19030,8701,15240
Rajasthan,2010-11,34224,34270,2743,1889,2379,4268,1694,21,4233,5949,1726,1235,2962,18349,26002,7653,25565,19584,8705,14686
Rajasthan,2011-12,34224,34267,2747,1884,2387,4271,1694,21,4169,5884,1855,1477,3331,18034,24505,6471,25555,19511,8712,14756
Rajasthan,2012-13,34224,34267,2750,1864,2411,4275,1694,23,4152,5870,2024,1869,3894,17479,23954,6475,25548,19348,8719,14919
Rajasthan,2013-14,34224,34267,2758,1889,2385,4274,1694,24,4000,5718,1847,1403,3250,18268,26120,7852,25542,19671,8725,14597
Sikkim,2003-04,710,688,584,6,NA,6,NA,9,3,12,4,4,8,78,121,43,98,82,590,606
Sikkim,2004-05,710,688,584,6,NA,6,NA,9,3,12,4,4,8,78,123,45,98,82,590,606
Sikkim,2005-06,710,435,326,11,NA,11,NA,8,3,11,4,5,9,78,123,45,99,83,337,352
Sikkim,2006-07,710,436,327,11,NA,11,NA,8,3,11,4,5,9,77,123,46,98,82,338,353
Sikkim,2007-08,710,444,336,11,NA,11,NA,8,3,11,4,5,9,77,118,41,98,82,346,362
Sikkim,2008-09,710,444,336,11,NA,11,NA,8,3,11,4,5,9,77,118,40,98,82,346,362
Sikkim,2009-10,710,444,336,11,NA,11,NA,8,3,11,4,5,9,77,144,67,98,82,346,362
Sikkim,2010-11,710,442,335,10,NA,10,NA,4,4,8,5,7,12,77,152,74,97,84,346,358
Sikkim,2011-12,710,443,336,10,NA,10,NA,4,4,8,5,7,12,77,137,60,97,84,346,358
Sikkim,2012-13,710,443,336,10,NA,10,NA,4,4,8,5,7,12,77,144,67,97,84,346,358
Sikkim,2013-14,710,443,336,10,NA,10,NA,4,4,8,5,7,12,77,147,70,97,84,346,358
Tamil Nadu,2003-04,13006,13027,2122,2113,509,2623,113,283,379,776,1863,954,2817,4689,5316,627,8168,5643,4858,7384
Tamil Nadu,2004-05,13006,13027,2122,2125,509,2634,114,290,374,778,1704,692,2396,5097,5889,792,8157,5789,4869,7238
Tamil Nadu,2005-06,13006,13027,2111,2139,503,2642,110,274,369,753,1518,759,2277,5244,6033,789,8164,6003,4863,7024
Tamil Nadu,2006-07,13006,13027,2106,2160,502,2662,110,268,354,733,1493,907,2400,5126,5843,717,8148,6033,4879,6994
Tamil Nadu,2007-08,13006,13027,2106,2169,492,2661,110,261,347,718,1499,981,2479,5062,5815,753,8149,6043,4877,6984
Tamil Nadu,2008-09,13006,13027,2106,2173,492,2665,110,259,333,702,1498,1013,2511,5043,5824,781,8146,6056,4880,6970
Tamil Nadu,2009-10,13006,13033,2127,2176,490,2666,110,253,326,689,1542,1117,2659,4892,5572,680,8131,6009,4903,7024
Tamil Nadu,2010-11,13006,13033,2125,2177,489,2666,110,252,331,693,1580,1015,2595,4954,5753,799,8132,5969,4901,7065
Tamil Nadu,2011-12,13006,13033,2125,2181,489,2669,110,252,329,691,1594,967,2561,4986,5890,904,8129,5953,4904,7080
Tamil Nadu,2012-13,13006,13033,2125,2184,489,2672,110,250,328,687,1696,1308,3004,4544,5140,596,8126,5852,4907,7181
Tamil Nadu,2013-14,13006,13033,2125,2190,488,2678,110,245,328,683,1718,1115,2833,4714,5897,1184,8120,5829,4913,7204
Telangana,2013-14,11487,11484,2743,895,615,1510,302,114,178,593,717,930,1677,4961,6288,1327,6929,5921,4555,5563
Tripura,2003-04,1049,1049,606,133,NA,133,NA,26,1,26,1,3,4,280,283,3,310,283,739,766
Tripura,2004-05,1049,1049,606,134,NA,134,NA,25,1,25,1,3,4,280,281,1,309,283,740,766
Tripura,2005-06,1049,1050,606,133,NA,133,NA,27,1,27,1,3,4,280,280,0,311,283,739,767
Tripura,2006-07,1049,1049,629,139,NA,139,4,14,4,22,1,3,4,255,276,21,277,258,772,791
Tripura,2007-08,1049,1051,629,139,NA,139,3,14,3,21,2,4,6,255,276,21,279,259,772,792
Tripura,2008-09,1049,1049,629,139,NA,139,3,14,4,21,2,3,4,256,263,8,278,258,771,791
Tripura,2009-10,1049,1049,629,141,NA,141,2,14,4,20,2,2,4,256,267,11,277,258,772,792
Tripura,2010-11,1049,1049,629,142,NA,142,2,14,4,19,2,2,3,255,350,94,276,257,773,792
Tripura,2011-12,1049,1049,629,143,NA,143,2,13,3,18,2,1,3,255,371,115,275,257,775,792
Tripura,2012-13,1049,1049,629,144,NA,144,2,12,3,17,2,1,3,255,368,113,274,257,776,793
Tripura,2013-14,1049,1049,629,145,NA,145,1,12,3,16,2,2,3,255,383,128,273,257,776,793
Uttarakhand,2003-04,5348,5668,3465,152,311,463,229,251,386,866,71,43,114,761,1222,461,1511,804,4157,4865
Uttarakhand,2004-05,5348,5670,3465,152,312,464,229,249,386,864,68,42,110,767,1235,468,1512,808,4158,4862
Uttarakhand,2005-06,5348,5666,3465,154,313,467,230,249,384,863,62,42,104,768,1212,445,1504,809,4162,4856
Uttarakhand,2006-07,5348,5667,3465,161,312,472,220,269,367,856,64,44,108,765,1210,445,1509,809,4158,4858
Uttarakhand,2007-08,5348,5673,3484,217,224,441,199,384,302,885,72,36,108,755,1187,432,1549,791,4123,4882
Uttarakhand,2008-09,5348,5673,3486,217,224,441,199,384,303,886,71,35,106,754,1193,439,1547,789,4126,4884
Uttarakhand,2009-10,5348,5672,3485,216,225,441,198,383,309,891,82,37,119,737,1166,430,1548,773,4124,4899
Uttarakhand,2010-11,5348,5673,3485,218,225,442,199,386,310,894,84,43,128,723,1170,447,1547,766,4126,4906
Uttarakhand,2011-12,5348,5673,3485,218,225,443,199,386,311,895,87,48,135,714,1132,418,1546,763,4126,4910
Uttarakhand,2012-13,5348,5673,3485,221,228,449,192,390,315,897,86,51,136,706,1124,418,1547,757,4126,4916
Uttarakhand,2013-14,5348,5992,3800,222,228,450,192,389,317,898,86,57,143,701,1099,398,1550,758,4442,5234
Uttar Pradesh,2003-04,24093,24201,1686,2594,548,3143,66,359,468,892,594,1137,1731,16750,25425,8675,19307,17887,4894,6315
Uttar Pradesh,2004-05,24093,24201,1688,2649,530,3178,64,344,454,862,574,1217,1791,16683,25524,8841,19272,17900,4930,6301
Uttar Pradesh,2005-06,24093,24201,1654,2700,515,3215,65,376,439,879,550,1270,1820,16633,25307,8674,19268,17903,4933,6298
Uttar Pradesh,2006-07,24093,24170,1657,2729,507,3236,64,373,440,877,542,1285,1827,16573,25415,8841,19213,17858,4958,6312
Uttar Pradesh,2007-08,24093,24170,1658,2761,507,3268,65,374,440,879,540,1408,1948,16417,25320,8903,19179,17825,4991,6345
Uttar Pradesh,2008-09,24093,24170,1662,2779,499,3278,65,365,437,867,539,1263,1802,16562,25471,8909,19166,17825,5005,6345
Uttar Pradesh,2009-10,24093,24170,1662,2801,494,3295,65,360,431,856,537,1232,1769,16589,25440,8851,19148,17821,5022,6350
Uttar Pradesh,2010-11,24093,24170,1658,2835,486,3321,66,354,426,846,538,1215,1753,16593,25615,9022,19126,17808,5045,6363
Uttar Pradesh,2011-12,24093,24170,1656,2893,457,3350,66,350,420,836,533,1173,1705,16623,25939,9316,19099,17796,5072,6375
Uttar Pradesh,2012-13,24093,24170,1658,2893,479,3371,66,350,423,839,537,1201,1739,16564,25821,9257,19075,17765,5095,6406
Uttar Pradesh,2013-14,24093,24170,1658,3027,469,3491,65,325,410,801,539,1135,1674,16546,25896,9350,18955,17681,5215,6489
West Bengal,2003-04,8875,8688,1171,1609,27,1636,5,58,34,97,22,333,355,5428,9661,4234,5876,5761,2812,2926
West Bengal,2004-05,8875,8687,1175,1674,26,1700,5,59,36,99,25,314,339,5374,9523,4149,5808,5688,2879,2999
West Bengal,2005-06,8875,8683,1175,1728,25,1753,6,63,43,111,30,319,349,5295,9533,4238,5749,5614,2934,3069
West Bengal,2006-07,8875,8684,1174,1733,21,1754,5,58,34,97,22,341,363,5296,9635,4339,5751,5637,2933,3047
West Bengal,2007-08,8875,8684,1174,1762,22,1783,6,61,33,100,20,311,331,5296,9752,4456,5721,5607,2963,3078
West Bengal,2008-09,8875,8684,1174,1793,21,1814,7,55,32,94,22,287,309,5294,9802,4507,5689,5581,2995,3103
West Bengal,2009-10,8875,8684,1174,1799,22,1820,6,55,31,92,20,323,342,5256,9530,4274,5684,5579,3000,3106
West Bengal,2010-11,8875,8684,1174,1823,17,1840,5,53,29,87,18,584,602,4981,8832,3851,5666,5565,3018,3119
West Bengal,2011-12,8875,8684,1174,1794,15,1810,4,52,31,86,18,399,417,5198,9353,4155,5697,5597,2987,3087
West Bengal,2012-13,8875,8684,1174,1822,13,1834,3,50,24,76,15,379,395,5205,9459,4254,5673,5584,3011,3100
West Bengal,2013-14,8875,8684,1174,1834,11,1846,2,49,18,69,12,349,362,5234,9618,4385,5662,5583,3022,3101
Andman & Nicobar Island,2003-04,825,795,717,21,3,24,6,18,12,37,3,1,4,13,15,2,47,14,748,781
Andman & Nicobar Island,2004-05,825,795,717,22,3,25,6,18,12,37,3,1,4,13,14,1,47,14,748,781
Andman & Nicobar Island,2005-06,825,795,717,22,3,24,6,18,12,37,3,1,4,13,14,1,47,14,748,781
Andman & Nicobar Island,2006-07,825,795,717,22,3,24,6,18,12,37,3,1,4,13,14,2,47,14,748,781
Andman & Nicobar Island,2007-08,825,757,717,8,2,10,4,4,3,11,3,2,5,15,16,2,26,16,731,741
Andman & Nicobar Island,2008-09,825,759,717,9,2,11,5,4,3,11,3,3,6,14,16,2,27,17,733,742
Andman & Nicobar Island,2009-10,825,757,717,7,2,9,4,4,3,11,3,3,6,15,17,2,28,17,730,740
Andman & Nicobar Island,2010-11,825,757,717,7,2,9,4,4,3,11,3,3,6,15,19,4,28,17,730,740
Andman & Nicobar Island,2011-12,825,757,717,7,2,9,4,4,3,11,3,3,6,15,18,3,28,17,730,740
Andman & Nicobar Island,2012-13,825,757,717,7,2,9,4,4,3,11,3,3,6,15,25,10,28,17,730,740
Andman & Nicobar Island,2013-14,825,757,717,7,2,9,4,4,3,11,3,3,6,15,24,10,28,17,730,740
Chandigarh,2003-04,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2004-05,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2005-06,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2006-07,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2007-08,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2008-09,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2009-10,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2010-11,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2011-12,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2012-13,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Chandigarh,2013-14,11,7,0,5,NA,5,NA,0,NA,0,0,0,0,1,2,1,2,1,5,6
Dadar & Nagar Haveli,2003-04,49,49,20,4,0,4,1,NA,0,1,1,1,2,22,30,7,24,24,25,25
Dadar & Nagar Haveli,2004-05,49,49,20,4,0,4,1,NA,0,1,1,1,1,23,29,6,24,24,25,25
Dadar & Nagar Haveli,2005-06,49,49,20,4,0,4,1,NA,0,1,1,1,2,22,28,6,24,23,25,25
Dadar & Nagar Haveli,2006-07,49,49,20,4,0,4,1,NA,0,1,1,2,3,21,29,8,24,23,25,25
Dadar & Nagar Haveli,2007-08,49,49,20,4,0,4,1,NA,0,1,2,2,4,20,27,7,24,23,25,26
Dadar & Nagar Haveli,2008-09,49,49,20,4,0,4,1,NA,0,1,2,2,4,20,26,6,24,22,25,26
Dadar & Nagar Haveli,2009-10,49,49,20,4,0,4,1,NA,0,1,4,2,6,18,23,5,24,20,25,29
Dadar & Nagar Haveli,2010-11,49,49,20,4,0,4,1,NA,0,1,4,2,6,17,22,4,24,20,25,29
Dadar & Nagar Haveli,2011-12,49,49,20,4,0,4,1,NA,0,1,1,2,3,20,25,4,24,22,25,27
Dadar & Nagar Haveli,2012-13,49,49,20,4,0,4,1,NA,0,1,2,2,3,20,24,4,24,22,25,27
Dadar & Nagar Haveli,2013-14,49,49,20,4,0,4,1,NA,0,1,2,2,4,19,23,4,24,21,25,28
Daman & Diu,2003-04,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,2,2,NA,3,2,0,0
Daman & Diu,2004-05,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,2,2,NA,3,2,0,0
Daman & Diu,2005-06,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,2,2,NA,3,2,0,0
Daman & Diu,2006-07,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,2,2,NA,3,2,0,0
Daman & Diu,2007-08,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,2,2,NA,3,2,0,0
Daman & Diu,2008-09,11,4,NA,0,NA,0,0,0,0,1,0,0,0,3,3,NA,4,3,0,1
Daman & Diu,2009-10,11,4,NA,0,NA,0,0,0,0,1,0,0,0,3,3,NA,4,3,0,1
Daman & Diu,2010-11,11,4,NA,0,NA,0,0,0,0,1,0,0,0,3,3,NA,4,3,0,1
Daman & Diu,2011-12,11,4,NA,0,NA,0,0,0,0,1,0,0,0,3,3,NA,4,3,0,1
Daman & Diu,2012-13,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,3,3,1,3,3,0,0
Daman & Diu,2013-14,11,3,NA,0,NA,0,NA,0,0,0,0,0,0,3,3,1,3,3,0,0
Delhi,2003-04,148,147,1,75,14,89,0,1,10,11,7,12,19,27,44,18,57,39,90,109
Delhi,2004-05,148,147,1,74,14,88,0,1,10,11,7,12,19,28,46,19,58,39,90,108
Delhi,2005-06,148,147,1,74,14,88,0,1,10,11,8,12,19,28,44,16,58,39,90,108
Delhi,2006-07,148,147,1,76,16,92,0,1,10,11,8,12,19,23,43,20,54,35,94,112
Delhi,2007-08,148,147,1,76,16,92,0,1,10,11,8,12,20,23,44,21,54,35,93,113
Delhi,2008-09,148,147,1,76,16,92,0,1,10,11,8,12,20,23,43,20,53,35,94,113
Delhi,2009-10,148,147,1,76,16,93,0,1,10,11,8,12,20,22,46,23,53,34,94,113
Delhi,2010-11,148,147,1,76,16,93,0,1,10,11,8,12,20,22,44,22,53,34,94,113
Delhi,2011-12,148,147,1,75,18,93,0,1,10,11,8,12,20,22,40,18,53,34,95,114
Delhi,2012-13,148,147,1,75,18,93,0,1,10,11,8,12,20,22,48,26,53,34,95,114
Delhi,2013-14,148,147,1,75,18,93,0,1,10,11,8,12,20,22,35,13,53,34,95,114
Lakshadweep,2003-04,3,3,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,3,3,0,0
Lakshadweep,2004-05,3,3,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,3,3,0,0
Lakshadweep,2005-06,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,1,1
Lakshadweep,2006-07,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,1,1
Lakshadweep,2007-08,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,1,1
Lakshadweep,2008-09,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,1,1
Lakshadweep,2009-10,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,1,1
Lakshadweep,2010-11,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,1
Lakshadweep,2011-12,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,1
Lakshadweep,2012-13,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,1
Lakshadweep,2013-14,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,1
Puducherry,2003-04,48,49,NA,17,0,17,NA,1,4,5,2,3,6,21,37,17,31,24,17,25
Puducherry,2004-05,48,49,NA,17,0,17,0,1,4,5,3,3,5,21,39,18,31,24,17,25
Puducherry,2005-06,48,49,NA,18,0,18,NA,1,4,5,3,2,5,21,36,16,31,23,18,26
Puducherry,2006-07,48,49,NA,18,0,18,NA,1,4,5,3,2,5,20,36,15,31,23,18,26
Puducherry,2007-08,48,49,NA,18,0,18,NA,1,4,6,2,3,5,20,35,15,30,22,18,26
Puducherry,2008-09,48,49,NA,18,0,18,NA,1,4,6,2,3,5,19,33,14,30,22,18,26
Puducherry,2009-10,48,49,NA,18,0,19,NA,1,4,6,3,3,6,19,32,13,30,22,19,27
Puducherry,2010-11,48,49,NA,19,0,19,NA,1,5,6,2,3,6,19,31,13,30,22,19,27
Puducherry,2011-12,48,49,0,18,0,18,NA,1,5,6,2,4,6,18,27,9,30,22,19,27
Puducherry,2012-13,48,49,0,19,0,19,NA,1,5,6,2,5,8,16,26,10,30,21,19,27
Puducherry,2013-14,48,49,0,19,0,19,NA,1,5,6,3,6,8,15,25,10,30,21,19,27
